full_webcnp_(January_2020),Definition,Test,Field Type,Notes
SPCPTNL.SCPT_QID000009_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000009_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000009_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000009_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000009_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000009_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000010_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000010_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000010_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000010_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000010_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000010_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000010_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000010_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000010_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000010_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000010_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000010_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000010_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000010_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000010_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000010_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000010_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000010_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000010_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000010_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000010_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000010_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000010_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000010_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000010_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000011_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000011_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000011_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000011_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000011_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000011_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000011_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000011_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000011_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000011_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000011_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000011_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000011_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000011_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000011_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000011_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000011_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000011_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000011_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000011_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000011_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000011_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000011_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000011_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000011_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000012_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000012_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000012_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000012_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000012_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000012_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000012_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000012_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000012_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000012_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000012_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000012_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000012_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000012_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000012_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000012_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000012_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000012_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000012_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000012_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000012_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000012_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000012_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000012_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000012_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000013_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000013_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000013_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000013_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000013_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000013_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000013_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000013_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000013_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000013_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000013_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000013_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000013_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000013_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000013_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000013_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000013_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000013_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000013_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000013_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000013_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000013_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000013_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000013_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000013_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000014_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000014_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000014_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000014_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000014_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000014_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000014_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000014_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000014_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000014_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000014_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000014_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000014_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000014_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000014_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000014_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000014_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000014_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000014_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000014_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000014_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000014_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000014_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000014_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000014_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000015_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000015_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000015_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000015_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000015_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000015_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000015_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000015_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000015_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000015_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000015_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000015_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000015_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000015_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000015_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000015_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000015_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000015_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000015_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000015_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000015_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000015_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000015_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000015_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000015_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000016_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000016_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000016_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000016_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000016_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000016_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000016_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000016_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000016_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000016_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000016_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000016_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000016_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000016_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000016_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000016_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000016_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000016_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000016_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000016_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000016_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000016_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000016_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000016_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000016_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000017_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000017_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000017_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000017_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000017_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000017_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000017_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000017_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000017_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000017_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000017_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000017_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000017_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000017_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000017_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000017_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000017_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000017_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000017_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000017_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000017_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000017_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000017_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000017_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000017_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000018_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000018_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000018_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000018_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000018_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000018_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000018_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000018_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000018_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000018_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000018_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000018_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000018_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000018_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000018_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000018_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000018_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000018_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000018_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000018_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000018_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000018_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000018_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000018_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000018_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000019_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000019_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000019_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000019_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000019_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000019_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000019_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000019_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000019_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
